episode,steps,return
1,200,-596.0
2,200,-632.0
3,200,-596.0
4,109,-295.0
5,200,-659.0
6,200,-614.0
7,200,-587.0
8,200,-389.0
9,200,-371.0
10,200,-398.0
11,200,-524.0
12,200,-245.0
13,200,-236.0
14,200,-614.0
15,200,-596.0
16,200,-425.0
17,200,-488.0
18,200,-227.0
19,200,-254.0
20,200,-344.0
21,200,-578.0
22,200,-497.0
23,200,-299.0
24,200,-362.0
25,68,-74.0
26,200,-245.0
27,187,-193.0
28,200,-371.0
29,200,-281.0
30,200,-290.0
31,200,-488.0
32,200,-281.0
33,200,-308.0
34,200,-326.0
35,200,-263.0
36,200,-245.0
37,200,-605.0
38,200,-317.0
39,200,-335.0
40,200,-605.0
41,200,-251.0
42,200,-344.0
43,200,-299.0
44,200,-236.0
45,200,-326.0
46,200,-299.0
47,200,-254.0
48,200,-335.0
49,200,-335.0
50,200,-290.0
51,200,-227.0
52,200,-254.0
53,200,-272.0
54,136,-178.0
55,200,-380.0
56,200,-281.0
57,200,-308.0
58,200,-308.0
59,189,-204.0
60,200,-326.0
61,200,-254.0
62,200,-263.0
63,200,-353.0
64,200,-245.0
65,200,-362.0
66,200,-272.0
67,120,-180.0
68,200,-281.0
69,200,-299.0
70,82,-88.0
71,185,-227.0
72,200,-299.0
73,200,-263.0
74,121,-190.0
75,150,-273.0
76,200,-326.0
77,200,-272.0
78,200,-236.0
79,200,-254.0
80,200,-236.0
81,162,-240.0
82,200,-371.0
83,200,-326.0
84,200,-263.0
85,200,-362.0
86,141,-201.0
87,106,-229.0
88,200,-254.0
89,200,-281.0
90,200,-416.0
91,200,-227.0
92,65,-44.0
93,200,-272.0
94,200,-236.0
95,200,-308.0
96,200,-236.0
97,101,-116.0
98,104,-119.0
99,200,-254.0
100,200,-254.0
101,200,-290.0
102,200,-254.0
103,106,-121.0
104,200,-299.0
105,124,-157.0
106,200,-416.0
107,200,-299.0
108,200,-299.0
109,176,-200.0
110,194,-263.0
111,200,-245.0
112,152,-149.0
113,200,-263.0
114,200,-245.0
115,200,-263.0
116,45,-51.0
117,200,-317.0
118,70,-85.0
119,200,-317.0
120,200,-308.0
121,200,-389.0
122,200,-236.0
123,200,-434.0
124,20,1.0
125,81,-105.0
126,200,-254.0
127,200,-299.0
128,113,-119.0
129,118,-151.0
130,200,-272.0
131,138,-171.0
132,200,-245.0
133,200,-272.0
134,167,-200.0
135,200,-227.0
136,144,-177.0
137,200,-245.0
138,200,-317.0
139,124,-121.0
140,172,-241.0
141,200,-254.0
142,107,-113.0
143,200,-308.0
144,200,-380.0
145,200,-290.0
146,200,-317.0
147,186,-255.0
148,200,-299.0
149,69,-48.0
150,200,-299.0
151,101,-143.0
152,200,-335.0
153,200,-326.0
154,200,-236.0
155,70,-49.0
156,192,-234.0
157,200,-245.0
158,34,-22.0
159,146,-170.0
160,62,-50.0
161,200,-299.0
162,200,-308.0
163,130,-226.0
164,200,-299.0
165,34,-13.0
166,147,-153.0
167,11,10.0
168,128,-143.0
169,200,-245.0
170,200,-281.0
171,200,-317.0
172,77,-65.0
173,200,-335.0
174,200,-236.0
175,168,-201.0
176,200,-299.0
177,200,-326.0
178,200,-254.0
179,39,-36.0
180,171,-177.0
181,13,-1.0
182,200,-272.0
183,139,-172.0
184,112,-136.0
185,200,-245.0
186,42,-30.0
187,168,-183.0
188,200,-389.0
189,19,2.0
190,200,-353.0
191,200,-254.0
192,101,-116.0
193,92,-89.0
194,200,-263.0
195,64,-52.0
196,200,-371.0
197,200,-218.0
198,200,-218.0
199,34,-13.0
200,81,-96.0
201,135,-213.0
202,200,-281.0
203,30,-18.0
204,200,-254.0
205,183,-234.0
206,78,-66.0
207,133,-121.0
208,199,-250.0
209,26,-5.0
210,172,-259.0
211,200,-254.0
212,172,-187.0
213,152,-212.0
214,102,-108.0
215,200,-317.0
216,200,-272.0
217,200,-344.0
218,200,-335.0
219,83,-98.0
220,87,-75.0
221,200,-272.0
222,38,-26.0
223,46,-34.0
224,107,-131.0
225,112,-145.0
226,139,-190.0
227,192,-189.0
228,156,-171.0
229,175,-253.0
230,200,-272.0
231,167,-263.0
232,73,-79.0
233,93,-108.0
234,134,-194.0
235,7,14.0
236,127,-151.0
237,200,-290.0
238,200,-227.0
239,132,-165.0
240,22,-1.0
241,200,-299.0
242,200,-272.0
243,200,-272.0
244,48,-54.0
245,200,-236.0
246,79,-76.0
247,181,-277.0
248,200,-272.0
249,200,-245.0
250,51,-30.0
251,119,-161.0
252,68,-47.0
253,200,-389.0
254,147,-162.0
255,99,-123.0
256,153,-195.0
257,200,-218.0
258,92,-98.0
259,111,-135.0
260,60,-66.0
261,43,-31.0
262,131,-173.0
263,200,-272.0
264,176,-200.0
265,124,-157.0
266,200,-317.0
267,200,-272.0
268,79,-76.0
269,200,-254.0
270,75,-72.0
271,107,-104.0
272,98,-113.0
273,200,-308.0
274,200,-236.0
275,93,-99.0
276,136,-187.0
277,30,-27.0
278,192,-261.0
279,200,-245.0
280,154,-178.0
281,200,-263.0
282,90,-105.0
283,9,3.0
284,63,-96.0
285,52,-40.0
286,194,-200.0
287,200,-308.0
288,200,-326.0
289,200,-272.0
290,51,-66.0
291,136,-178.0
292,37,-43.0
293,10,2.0
294,112,-127.0
295,133,-166.0
296,98,-86.0
297,26,-5.0
298,25,-13.0
299,43,-22.0
300,149,-191.0
301,80,-68.0
302,200,-299.0
303,85,-82.0
304,124,-166.0
305,159,-246.0
306,105,-147.0
307,126,-123.0
308,157,-181.0
309,103,-109.0
310,56,-71.0
311,200,-236.0
312,102,-171.0
313,176,-200.0
314,161,-203.0
315,84,-108.0
316,161,-221.0
317,77,-56.0
318,27,-6.0
319,159,-183.0
320,112,-172.0
321,123,-165.0
322,18,3.0
323,32,-20.0
324,87,-84.0
325,82,-106.0
326,17,-14.0
327,95,-128.0
328,96,-120.0
329,200,-272.0
330,88,-76.0
331,125,-131.0
332,88,-94.0
333,152,-194.0
334,66,-90.0
335,95,-110.0
336,128,-143.0
337,161,-248.0
338,145,-169.0
339,69,-102.0
340,194,-218.0
341,171,-204.0
342,53,-32.0
343,125,-176.0
344,131,-155.0
345,147,-153.0
346,25,-22.0
347,47,-35.0
348,22,-1.0
349,113,-128.0
350,6,15.0
351,111,-126.0
352,151,-184.0
353,87,-120.0
354,157,-181.0
355,45,-42.0
356,137,-179.0
357,23,-2.0
358,128,-143.0
359,140,-155.0
360,166,-226.0
361,200,-272.0
362,8,13.0
363,143,-140.0
364,199,-286.0
365,136,-187.0
366,52,-49.0
367,43,-22.0
368,56,-62.0
369,141,-201.0
370,146,-206.0
371,42,-39.0
372,7,14.0
373,10,11.0
