episode,steps,return
1,200,-641.0
2,200,-650.0
3,200,-677.0
4,200,-551.0
5,200,-677.0
6,200,-659.0
7,200,-668.0
8,200,-434.0
9,200,-416.0
10,200,-362.0
11,200,-425.0
12,200,-362.0
13,200,-434.0
14,200,-623.0
15,200,-650.0
16,200,-434.0
17,200,-308.0
18,200,-326.0
19,200,-353.0
20,200,-614.0
21,200,-641.0
22,200,-326.0
23,200,-461.0
24,200,-524.0
25,106,-130.0
26,200,-407.0
27,200,-317.0
28,200,-317.0
29,200,-281.0
30,200,-371.0
31,200,-443.0
32,200,-416.0
33,200,-299.0
34,200,-281.0
35,200,-353.0
36,200,-443.0
37,200,-668.0
38,200,-317.0
39,200,-299.0
40,200,-614.0
41,84,-99.0
42,200,-434.0
43,182,-296.0
44,200,-299.0
45,200,-299.0
46,200,-290.0
47,155,-287.0
48,200,-326.0
49,83,-143.0
50,200,-263.0
51,200,-290.0
52,200,-317.0
53,200,-344.0
54,200,-362.0
55,168,-462.0
56,73,-124.0
57,200,-317.0
58,200,-299.0
59,200,-263.0
60,200,-317.0
61,200,-281.0
62,200,-380.0
63,200,-317.0
64,200,-335.0
65,60,-66.0
66,200,-281.0
67,200,-371.0
68,131,-272.0
69,200,-353.0
70,200,-308.0
71,200,-326.0
72,200,-308.0
73,200,-335.0
74,200,-407.0
75,196,-346.0
76,75,-72.0
77,200,-299.0
78,152,-230.0
79,200,-335.0
80,200,-335.0
81,182,-278.0
82,200,-308.0
83,200,-326.0
84,200,-254.0
85,62,-59.0
86,70,-112.0
87,200,-488.0
88,200,-272.0
89,189,-330.0
90,200,-389.0
91,200,-299.0
92,200,-272.0
93,200,-326.0
94,200,-326.0
95,136,-205.0
96,200,-317.0
97,178,-301.0
98,200,-299.0
99,125,-176.0
100,200,-299.0
101,60,-66.0
102,200,-317.0
103,200,-308.0
104,179,-284.0
105,200,-371.0
106,200,-335.0
107,200,-398.0
108,200,-344.0
109,15,-3.0
110,189,-267.0
111,115,-139.0
112,200,-317.0
113,200,-353.0
114,200,-299.0
115,17,-5.0
116,169,-274.0
117,200,-326.0
118,200,-299.0
119,39,-45.0
120,200,-353.0
121,200,-452.0
122,27,-15.0
123,200,-290.0
124,200,-308.0
125,200,-380.0
126,160,-211.0
127,189,-249.0
128,200,-299.0
129,106,-130.0
130,111,-135.0
131,112,-163.0
132,200,-362.0
133,58,-73.0
134,200,-344.0
135,200,-308.0
136,142,-202.0
137,168,-246.0
138,200,-344.0
139,128,-170.0
140,200,-281.0
141,200,-344.0
142,200,-317.0
143,110,-188.0
144,200,-353.0
145,200,-362.0
146,200,-317.0
147,45,-69.0
148,200,-380.0
149,200,-380.0
150,188,-293.0
151,200,-362.0
152,44,-32.0
153,200,-290.0
154,97,-139.0
155,183,-234.0
156,200,-317.0
157,69,-120.0
158,115,-184.0
159,200,-308.0
160,200,-353.0
161,200,-263.0
162,200,-290.0
163,200,-245.0
164,200,-308.0
165,200,-362.0
166,200,-317.0
167,12,-9.0
168,200,-326.0
169,200,-326.0
170,47,-35.0
171,130,-217.0
172,200,-290.0
173,200,-335.0
174,63,-42.0
175,200,-344.0
176,114,-129.0
177,54,-96.0
178,200,-353.0
179,200,-317.0
180,200,-263.0
181,93,-99.0
182,61,-94.0
183,200,-299.0
184,90,-96.0
185,188,-293.0
186,134,-185.0
187,85,-91.0
188,145,-223.0
189,141,-210.0
190,200,-308.0
191,41,-56.0
192,38,-44.0
193,177,-264.0
194,200,-371.0
195,200,-335.0
196,200,-290.0
197,127,-178.0
198,200,-344.0
199,57,-63.0
200,32,-38.0
201,182,-296.0
202,141,-192.0
203,200,-308.0
204,200,-335.0
205,200,-299.0
206,108,-159.0
207,77,-101.0
208,157,-226.0
209,52,-67.0
210,200,-335.0
211,200,-344.0
212,128,-215.0
213,59,-56.0
214,52,-49.0
215,57,-63.0
216,200,-326.0
217,105,-120.0
218,200,-299.0
219,58,-91.0
220,200,-299.0
221,183,-306.0
222,157,-280.0
223,10,11.0
224,161,-248.0
225,50,-65.0
226,139,-163.0
227,197,-284.0
228,200,-290.0
229,196,-328.0
230,200,-290.0
231,182,-260.0
232,53,-50.0
233,108,-141.0
234,200,-353.0
235,12,-18.0
236,169,-229.0
237,93,-171.0
238,50,-47.0
239,61,-85.0
240,49,-64.0
241,156,-243.0
242,200,-281.0
243,128,-152.0
244,67,-91.0
245,131,-173.0
246,140,-218.0
247,87,-111.0
248,153,-177.0
249,200,-281.0
250,66,-126.0
251,122,-146.0
252,78,-129.0
253,179,-266.0
254,165,-270.0
255,55,-61.0
256,83,-80.0
257,192,-351.0
258,200,-290.0
259,49,-91.0
260,139,-172.0
261,200,-263.0
262,148,-244.0
263,200,-326.0
264,112,-181.0
265,170,-302.0
266,200,-326.0
267,136,-196.0
268,200,-326.0
269,110,-134.0
270,37,-25.0
271,200,-335.0
272,135,-186.0
273,200,-326.0
274,200,-308.0
275,16,-4.0
276,122,-164.0
277,136,-205.0
278,196,-283.0
279,88,-103.0
280,186,-255.0
281,109,-133.0
282,133,-175.0
283,13,-10.0
284,55,-61.0
285,106,-202.0
286,200,-344.0
287,200,-299.0
288,200,-281.0
289,90,-114.0
290,107,-140.0
291,31,-37.0
292,45,-42.0
293,200,-344.0
294,200,-263.0
295,200,-326.0
296,200,-398.0
297,17,-14.0
298,115,-148.0
299,42,-75.0
300,54,-42.0
301,51,-66.0
302,143,-185.0
303,60,-39.0
304,122,-191.0
305,200,-344.0
306,96,-111.0
307,200,-299.0
308,112,-127.0
309,138,-189.0
310,47,-71.0
311,151,-265.0
312,200,-389.0
313,183,-261.0
314,17,-5.0
315,176,-281.0
316,129,-207.0
317,200,-299.0
318,52,-49.0
319,164,-269.0
320,200,-344.0
321,69,-84.0
322,123,-174.0
323,144,-249.0
324,122,-173.0
325,151,-265.0
326,64,-97.0
327,157,-226.0
328,100,-133.0
329,155,-269.0
330,69,-75.0
331,36,-42.0
332,200,-299.0
333,163,-205.0
334,51,-48.0
335,38,-62.0
336,38,-62.0
337,161,-194.0
338,65,-71.0
339,36,-33.0
340,27,-6.0
341,200,-344.0
342,102,-117.0
343,40,-19.0
344,106,-139.0
345,136,-196.0
346,78,-120.0
347,126,-168.0
348,200,-317.0
349,96,-147.0
350,6,15.0
351,89,-113.0
352,66,-90.0
353,14,7.0
354,117,-150.0
355,118,-178.0
356,73,-61.0
357,28,-16.0
358,200,-335.0
359,86,-92.0
360,76,-73.0
361,43,-49.0
362,11,1.0
363,56,-53.0
364,88,-121.0
365,144,-231.0
366,46,-52.0
367,86,-110.0
368,66,-72.0
369,143,-212.0
370,81,-96.0
371,22,-10.0
372,10,2.0
373,25,-13.0
374,200,-371.0
375,15,-12.0
376,10,2.0
377,47,-53.0
378,67,-82.0
379,81,-96.0
380,150,-228.0
381,87,-111.0
382,35,-14.0
383,200,-263.0
384,29,-26.0
385,51,-75.0
386,200,-317.0
387,166,-226.0
388,78,-111.0
389,174,-243.0
390,95,-119.0
391,27,-15.0
392,139,-253.0
393,118,-169.0
394,41,-56.0
395,186,-255.0
396,97,-112.0
397,141,-219.0
398,80,-95.0
399,51,-75.0
400,7,14.0
401,37,-34.0
402,113,-182.0
403,123,-219.0
404,126,-177.0
405,92,-116.0
406,112,-163.0
407,180,-231.0
408,144,-213.0
409,59,-47.0
410,40,-55.0
411,9,12.0
412,169,-256.0
413,21,0.0
414,19,-7.0
415,200,-371.0
416,93,-135.0
417,200,-380.0
418,77,-101.0
419,94,-136.0
420,41,-38.0
421,134,-167.0
422,159,-237.0
423,16,5.0
424,81,-78.0
425,110,-125.0
426,174,-279.0
427,14,-11.0
428,160,-202.0
429,17,-5.0
430,71,-77.0
431,17,-5.0
432,33,-12.0
433,15,6.0
434,73,-79.0
435,83,-125.0
436,125,-185.0
437,48,-45.0
438,34,-31.0
439,69,-93.0
440,200,-326.0
441,56,-89.0
442,77,-83.0
443,60,-84.0
444,118,-160.0
445,51,-66.0
446,21,-9.0
447,53,-59.0
448,94,-136.0
449,28,-25.0
450,127,-133.0
451,131,-191.0
452,135,-222.0
453,33,-39.0
454,168,-210.0
455,122,-137.0
456,143,-203.0
457,25,-13.0
458,31,-19.0
459,72,-114.0
460,40,-37.0
461,9,3.0
462,132,-183.0
463,163,-232.0
464,89,-104.0
465,41,-56.0
466,90,-105.0
467,31,-46.0
468,9,3.0
469,40,-28.0
470,200,-272.0
471,7,14.0
472,53,-77.0
473,45,-60.0
474,51,-48.0
475,93,-108.0
476,57,-36.0
477,56,-62.0
478,160,-247.0
479,142,-184.0
480,14,-11.0
481,62,-95.0
482,15,-3.0
483,53,-68.0
484,50,-83.0
485,40,-28.0
486,18,-15.0
487,27,-15.0
488,131,-146.0
489,171,-231.0
490,83,-125.0
491,33,-48.0
492,46,-52.0
493,83,-89.0
494,192,-279.0
495,7,14.0
496,54,-69.0
497,75,-144.0
498,98,-122.0
499,40,-37.0
500,34,-40.0
501,26,-23.0
502,67,-100.0
503,197,-329.0
504,140,-218.0
505,38,-35.0
506,75,-117.0
507,72,-87.0
508,84,-144.0
509,145,-223.0
510,97,-94.0
511,28,-25.0
512,125,-167.0
513,14,-11.0
514,59,-74.0
515,53,-59.0
516,55,-70.0
517,102,-126.0
518,22,-19.0
519,110,-161.0
520,61,-58.0
521,26,-14.0
522,36,-24.0
523,12,9.0
524,59,-56.0
525,36,-24.0
526,119,-188.0
527,10,11.0
528,84,-153.0
529,153,-222.0
530,113,-164.0
531,25,-4.0
532,180,-276.0
533,58,-82.0
534,43,-31.0
535,94,-127.0
536,32,-29.0
537,33,-39.0
538,68,-74.0
539,7,14.0
540,68,-110.0
541,96,-138.0
542,111,-171.0
543,194,-263.0
544,53,-59.0
545,10,-7.0
546,30,-9.0
547,13,-1.0
548,147,-180.0
549,26,-14.0
550,19,-7.0
551,66,-63.0
552,17,-14.0
553,57,-54.0
554,78,-93.0
555,127,-214.0
556,12,0.0
557,58,-55.0
558,75,-90.0
559,78,-75.0
560,15,-3.0
561,43,-31.0
562,50,-47.0
563,102,-126.0
564,22,-1.0
565,47,-53.0
566,12,9.0
567,22,-28.0
568,168,-174.0
569,200,-317.0
570,50,-65.0
571,22,-1.0
572,74,-89.0
573,65,-53.0
574,16,-4.0
575,37,-25.0
576,109,-142.0
577,25,-13.0
578,27,-42.0
579,32,-11.0
580,26,-23.0
581,153,-240.0
582,13,-10.0
583,40,-28.0
584,63,-69.0
585,68,-92.0
586,40,-37.0
587,25,-13.0
588,63,-69.0
589,60,-48.0
590,109,-223.0
591,67,-100.0
592,64,-115.0
593,103,-127.0
594,23,-11.0
595,36,-24.0
596,77,-65.0
597,118,-196.0
598,57,-90.0
599,30,-27.0
600,51,-66.0
601,9,12.0
602,20,-8.0
603,94,-109.0
604,118,-178.0
605,18,3.0
606,15,6.0
607,93,-90.0
608,12,9.0
609,19,2.0
610,30,-9.0
611,21,-9.0
612,105,-129.0
613,35,-68.0
614,16,-4.0
615,14,7.0
616,92,-98.0
617,12,9.0
618,81,-96.0
619,45,-60.0
620,14,7.0
621,20,-8.0
622,53,-59.0
623,8,13.0
624,62,-59.0
625,48,-63.0
626,47,-44.0
627,14,7.0
628,102,-117.0
629,66,-45.0
630,38,-35.0
631,34,-58.0
632,15,6.0
633,144,-168.0
634,48,-72.0
635,19,-16.0
636,116,-176.0
637,33,-21.0
638,17,4.0
639,36,-42.0
640,13,-1.0
641,13,-1.0
642,69,-84.0
643,8,13.0
644,87,-120.0
645,10,11.0
646,19,-7.0
647,13,8.0
648,30,-18.0
649,28,-7.0
650,37,-52.0
651,57,-45.0
652,39,-36.0
653,25,-22.0
654,43,-40.0
655,66,-72.0
656,85,-73.0
657,36,-24.0
658,111,-135.0
659,29,-26.0
660,112,-136.0
661,124,-166.0
662,9,12.0
663,51,-39.0
664,69,-111.0
665,32,-38.0
666,46,-61.0
667,68,-74.0
668,21,-18.0
669,55,-115.0
670,17,-5.0
671,17,4.0
672,97,-112.0
673,34,-22.0
674,52,-49.0
675,37,-43.0
676,12,9.0
677,45,-51.0
678,156,-225.0
679,78,-102.0
680,16,5.0
681,13,8.0
682,20,1.0
683,101,-116.0
684,16,-4.0
685,26,-23.0
686,13,-10.0
687,113,-137.0
688,21,0.0
689,25,-22.0
690,12,9.0
691,13,-1.0
692,74,-62.0
693,14,-2.0
694,11,10.0
695,26,-14.0
696,60,-57.0
697,47,-44.0
698,10,11.0
699,36,-24.0
700,13,-1.0
701,114,-138.0
702,25,-22.0
703,10,11.0
704,13,8.0
705,88,-139.0
706,17,-14.0
707,44,-59.0
708,13,-1.0
709,23,-20.0
710,17,-5.0
711,35,-68.0
712,41,-47.0
713,17,4.0
714,129,-216.0
715,20,-17.0
716,33,-12.0
717,49,-46.0
718,21,-9.0
719,117,-213.0
720,13,-1.0
721,35,-41.0
722,9,3.0
723,21,-18.0
724,86,-128.0
725,69,-102.0
726,99,-168.0
727,17,4.0
728,91,-124.0
729,28,-16.0
730,28,-34.0
731,31,-37.0
732,37,-34.0
733,8,13.0
734,10,11.0
735,12,9.0
736,34,-40.0
737,16,5.0
738,29,-35.0
739,32,-38.0
740,47,-44.0
741,12,-9.0
742,26,-32.0
743,12,9.0
744,10,2.0
745,15,6.0
746,15,6.0
747,46,-34.0
748,14,-2.0
749,21,-27.0
750,20,1.0
751,61,-94.0
752,16,-4.0
753,115,-238.0
754,82,-115.0
755,11,10.0
756,10,11.0
757,28,-16.0
758,45,-87.0
759,16,-13.0
760,89,-86.0
761,12,0.0
762,90,-123.0
763,18,-6.0
764,50,-47.0
765,34,-22.0
766,16,-4.0
767,13,8.0
768,13,8.0
769,16,5.0
770,103,-127.0
771,33,-39.0
772,33,-39.0
773,11,1.0
774,65,-62.0
775,15,6.0
776,59,-65.0
777,38,-26.0
778,20,-17.0
779,34,-31.0
780,22,-37.0
781,16,-4.0
782,66,-72.0
783,26,-14.0
784,17,-5.0
785,23,-29.0
786,60,-93.0
787,10,11.0
788,22,-37.0
789,17,4.0
790,9,12.0
791,14,-11.0
792,62,-68.0
793,16,-31.0
794,39,-18.0
795,52,-76.0
796,24,-30.0
797,29,-44.0
798,19,-16.0
799,44,-86.0
800,13,-1.0
801,13,8.0
802,117,-123.0
803,32,-38.0
804,30,-45.0
805,73,-70.0
806,60,-66.0
807,98,-140.0
808,34,-40.0
809,33,-21.0
810,39,-45.0
811,30,-27.0
812,26,-14.0
813,37,-16.0
814,45,-42.0
815,10,11.0
816,39,-27.0
817,35,-68.0
818,31,-46.0
819,13,8.0
820,29,-17.0
821,57,-63.0
822,24,-12.0
823,19,-25.0
824,36,-24.0
825,16,-4.0
826,33,-21.0
827,30,-45.0
828,14,-2.0
829,42,-30.0
830,41,-29.0
831,14,7.0
832,29,-8.0
833,63,-78.0
834,14,7.0
835,15,-3.0
836,42,-30.0
837,13,-1.0
838,17,-14.0
839,14,7.0
840,117,-150.0
841,55,-97.0
842,24,-3.0
843,12,9.0
844,18,3.0
845,26,-23.0
846,28,-25.0
847,17,-5.0
848,12,0.0
849,43,-31.0
850,54,-51.0
851,12,0.0
852,16,-13.0
853,73,-70.0
854,18,-24.0
855,27,-6.0
856,28,-25.0
857,40,-19.0
858,76,-109.0
859,9,3.0
860,83,-98.0
861,15,-30.0
862,69,-75.0
863,63,-69.0
864,25,-22.0
865,20,-17.0
866,17,-14.0
867,25,-22.0
868,22,-10.0
869,12,9.0
870,16,-13.0
871,14,7.0
872,18,-15.0
873,19,-16.0
874,11,1.0
875,102,-126.0
876,23,-29.0
877,16,-13.0
878,9,12.0
879,71,-104.0
880,16,-13.0
881,18,-15.0
882,142,-220.0
883,18,-6.0
884,17,-5.0
885,21,-18.0
886,29,-17.0
887,12,9.0
888,41,-65.0
889,92,-179.0
890,56,-44.0
891,41,-29.0
892,18,3.0
893,36,-33.0
894,65,-71.0
895,21,-9.0
896,14,-2.0
897,47,-53.0
898,7,14.0
899,11,1.0
900,12,9.0
901,60,-93.0
902,49,-64.0
903,13,8.0
904,34,-40.0
905,35,-23.0
906,16,-4.0
907,34,-31.0
908,12,9.0
909,80,-104.0
910,24,-30.0
911,19,2.0
912,12,9.0
913,12,0.0
914,8,13.0
915,17,4.0
916,39,-27.0
917,84,-126.0
918,49,-46.0
919,62,-59.0
920,14,7.0
921,21,0.0
922,15,-3.0
923,8,13.0
924,22,-10.0
925,19,-7.0
926,13,8.0
927,14,7.0
928,17,4.0
929,60,-75.0
930,18,-6.0
931,16,5.0
932,15,-3.0
933,32,-11.0
934,14,7.0
935,18,-15.0
936,28,-25.0
937,13,-10.0
938,14,7.0
939,27,-24.0
940,17,4.0
941,19,2.0
942,20,-26.0
943,27,-15.0
944,14,7.0
945,10,11.0
946,14,-2.0
947,16,-4.0
948,24,-12.0
949,29,-17.0
950,18,3.0
951,42,-57.0
952,18,-6.0
953,15,6.0
954,15,6.0
955,42,-30.0
956,23,-29.0
957,16,5.0
958,18,-6.0
959,34,-22.0
960,66,-99.0
961,23,-2.0
962,67,-118.0
963,12,9.0
964,72,-105.0
965,12,0.0
966,26,-23.0
967,78,-75.0
968,41,-47.0
969,20,-17.0
970,11,10.0
971,20,-8.0
972,11,-8.0
973,17,-5.0
974,25,-22.0
975,18,3.0
976,32,-29.0
977,11,1.0
978,53,-59.0
979,15,-3.0
980,19,-25.0
981,13,8.0
982,9,12.0
983,40,-46.0
984,7,14.0
985,12,0.0
986,20,1.0
987,52,-76.0
988,26,-32.0
989,27,-6.0
990,33,-30.0
991,18,3.0
992,17,-14.0
993,27,-33.0
994,13,8.0
995,17,-5.0
996,23,-20.0
997,23,-11.0
998,28,-16.0
999,26,-14.0
1000,16,5.0
1001,16,5.0
1002,82,-115.0
1003,48,-36.0
1004,32,-20.0
1005,22,-28.0
1006,16,-4.0
1007,47,-26.0
1008,14,-2.0
1009,15,-12.0
1010,16,-4.0
1011,29,-8.0
1012,11,10.0
1013,22,-19.0
1014,11,10.0
1015,51,-66.0
1016,15,6.0
1017,9,12.0
1018,21,0.0
1019,54,-69.0
1020,75,-108.0
1021,26,-5.0
1022,28,-16.0
1023,19,-16.0
1024,10,11.0
1025,30,-18.0
1026,50,-56.0
1027,50,-74.0
1028,9,3.0
1029,17,-5.0
1030,12,9.0
1031,16,5.0
1032,17,-5.0
1033,20,-8.0
1034,44,-23.0
1035,30,-36.0
1036,34,-22.0
1037,19,2.0
1038,16,-13.0
1039,21,-18.0
1040,17,-5.0
1041,27,-15.0
1042,10,2.0
1043,28,-25.0
1044,30,-27.0
1045,32,-11.0
1046,14,7.0
1047,22,-10.0
1048,10,2.0
1049,16,-13.0
1050,17,-14.0
1051,13,-1.0
1052,37,-25.0
1053,29,-26.0
1054,9,12.0
1055,59,-83.0
1056,11,10.0
1057,20,-8.0
1058,20,-8.0
1059,13,8.0
1060,28,-16.0
1061,57,-90.0
1062,14,7.0
1063,24,-12.0
1064,49,-82.0
1065,67,-91.0
1066,16,-13.0
1067,19,-7.0
1068,30,-18.0
1069,14,-2.0
1070,18,-6.0
1071,18,-6.0
1072,15,6.0
1073,39,-36.0
1074,31,-37.0
1075,23,-11.0
1076,17,-14.0
1077,8,13.0
1078,22,-1.0
1079,15,6.0
1080,19,-7.0
1081,11,10.0
1082,15,6.0
1083,25,-13.0
1084,20,-8.0
1085,11,10.0
1086,17,-14.0
1087,19,2.0
1088,10,11.0
1089,15,6.0
1090,10,11.0
1091,21,0.0
1092,18,-6.0
1093,20,-8.0
1094,13,8.0
1095,22,-1.0
1096,23,-2.0
1097,18,-15.0
1098,14,-2.0
1099,15,-3.0
1100,12,0.0
1101,12,9.0
1102,23,-38.0
1103,62,-77.0
1104,16,5.0
1105,37,-52.0
1106,59,-83.0
1107,8,13.0
1108,15,-3.0
1109,15,-21.0
1110,12,0.0
1111,20,-8.0
1112,9,12.0
1113,15,-21.0
1114,9,12.0
1115,34,-31.0
1116,47,-71.0
1117,14,7.0
1118,28,-52.0
1119,16,-4.0
1120,18,3.0
1121,11,10.0
1122,17,-5.0
1123,17,-14.0
1124,20,1.0
1125,21,-9.0
1126,30,-45.0
1127,18,-15.0
1128,10,11.0
1129,17,-23.0
1130,14,7.0
1131,18,-6.0
1132,7,14.0
1133,15,-12.0
1134,16,5.0
1135,18,-6.0
1136,32,-38.0
1137,18,-6.0
1138,12,9.0
1139,10,2.0
1140,18,-6.0
1141,10,11.0
1142,12,9.0
1143,14,7.0
1144,17,4.0
1145,18,-6.0
1146,14,7.0
1147,21,-9.0
1148,27,-6.0
1149,18,-6.0
1150,45,-33.0
1151,35,-23.0
1152,15,-3.0
1153,13,8.0
1154,16,-13.0
1155,12,9.0
1156,37,-34.0
1157,19,-25.0
1158,19,-16.0
1159,11,-8.0
1160,9,12.0
1161,9,12.0
1162,15,6.0
1163,15,6.0
1164,23,-11.0
1165,12,9.0
1166,9,12.0
1167,23,-20.0
1168,15,6.0
1169,16,-4.0
