episode,steps,return
1,200,-659.0
2,200,-596.0
3,200,-578.0
4,200,-524.0
5,200,-641.0
6,200,-641.0
7,200,-614.0
8,200,-560.0
9,200,-335.0
10,119,-179.0
11,200,-515.0
12,200,-371.0
13,200,-236.0
14,200,-641.0
15,200,-650.0
16,200,-299.0
17,200,-245.0
18,200,-272.0
19,200,-254.0
20,200,-515.0
21,200,-695.0
22,200,-272.0
23,200,-317.0
24,200,-461.0
25,182,-242.0
26,200,-263.0
27,200,-299.0
28,200,-254.0
29,200,-272.0
30,200,-245.0
31,200,-470.0
32,200,-245.0
33,200,-236.0
34,200,-236.0
35,200,-236.0
36,200,-263.0
37,200,-623.0
38,200,-245.0
39,200,-209.0
40,200,-587.0
41,200,-272.0
42,200,-371.0
43,200,-236.0
44,46,-34.0
45,200,-317.0
46,200,-263.0
47,155,-215.0
48,182,-206.0
49,200,-254.0
50,148,-190.0
51,200,-263.0
52,200,-236.0
53,200,-236.0
54,152,-203.0
55,188,-284.0
56,200,-281.0
57,200,-281.0
58,107,-113.0
59,99,-96.0
60,200,-353.0
61,146,-152.0
62,158,-209.0
63,200,-290.0
64,200,-371.0
65,170,-194.0
66,200,-245.0
67,200,-416.0
68,200,-362.0
69,134,-140.0
70,200,-254.0
71,110,-107.0
72,200,-245.0
73,200,-236.0
74,200,-362.0
75,145,-169.0
76,200,-281.0
77,200,-416.0
78,30,-9.0
79,200,-308.0
80,200,-299.0
81,49,-46.0
82,200,-281.0
83,121,-145.0
84,90,-132.0
85,53,-50.0
86,46,-52.0
87,200,-398.0
88,200,-254.0
89,200,-263.0
90,200,-452.0
91,181,-214.0
92,149,-182.0
93,200,-245.0
94,200,-263.0
95,200,-281.0
96,200,-254.0
97,189,-231.0
98,89,-104.0
99,200,-281.0
100,108,-123.0
101,42,-39.0
102,100,-106.0
103,200,-245.0
104,79,-58.0
105,200,-227.0
106,123,-165.0
107,200,-335.0
108,200,-434.0
109,13,-1.0
110,190,-223.0
111,200,-245.0
112,141,-201.0
113,173,-233.0
114,200,-389.0
115,152,-203.0
116,178,-193.0
117,200,-398.0
118,140,-236.0
119,21,-9.0
120,200,-416.0
121,200,-371.0
122,47,-35.0
123,200,-317.0
124,174,-189.0
125,155,-215.0
126,200,-362.0
127,199,-196.0
128,97,-157.0
129,173,-206.0
130,163,-169.0
131,17,-23.0
132,151,-193.0
133,200,-281.0
134,172,-196.0
135,200,-218.0
136,200,-227.0
137,181,-304.0
138,200,-254.0
139,36,-24.0
140,135,-168.0
141,121,-118.0
142,114,-138.0
143,138,-126.0
144,166,-253.0
145,200,-227.0
146,200,-263.0
147,101,-125.0
148,108,-186.0
149,111,-126.0
150,90,-78.0
151,145,-241.0
152,200,-263.0
153,77,-110.0
154,96,-102.0
155,183,-270.0
156,134,-176.0
157,14,7.0
158,127,-151.0
159,200,-263.0
160,106,-130.0
161,122,-137.0
162,98,-113.0
163,160,-184.0
164,80,-86.0
165,79,-85.0
166,128,-125.0
167,8,4.0
168,104,-101.0
169,85,-100.0
170,21,-9.0
171,112,-145.0
172,122,-119.0
173,112,-118.0
174,155,-215.0
175,200,-263.0
176,150,-183.0
177,200,-290.0
178,101,-89.0
179,130,-181.0
180,87,-84.0
181,18,-15.0
182,187,-202.0
183,43,-49.0
184,156,-153.0
185,200,-254.0
186,179,-266.0
187,83,-107.0
188,57,-45.0
189,10,11.0
190,177,-174.0
191,23,-20.0
192,191,-215.0
193,110,-89.0
194,85,-82.0
195,24,-3.0
196,100,-88.0
197,98,-95.0
198,98,-140.0
199,83,-80.0
200,17,4.0
201,125,-140.0
202,81,-96.0
203,93,-90.0
204,58,-55.0
205,83,-125.0
206,128,-134.0
207,95,-110.0
208,174,-216.0
209,18,3.0
210,67,-73.0
211,177,-201.0
212,90,-96.0
213,60,-39.0
214,143,-167.0
215,74,-71.0
216,166,-199.0
217,31,-10.0
218,60,-57.0
219,37,-52.0
220,143,-167.0
221,101,-116.0
222,9,12.0
223,10,11.0
224,57,-54.0
225,19,-7.0
226,101,-116.0
227,145,-232.0
228,86,-110.0
229,194,-317.0
230,86,-128.0
231,113,-146.0
232,128,-143.0
233,67,-118.0
234,93,-72.0
235,6,15.0
236,42,-21.0
237,37,-34.0
238,190,-286.0
239,30,-9.0
240,74,-62.0
241,174,-225.0
242,173,-260.0
243,142,-220.0
244,19,2.0
245,12,9.0
246,27,-6.0
247,46,-34.0
248,59,-74.0
249,16,5.0
250,54,-69.0
251,79,-94.0
252,21,0.0
253,125,-140.0
254,65,-80.0
255,79,-130.0
256,81,-60.0
257,191,-224.0
258,76,-91.0
259,71,-59.0
260,97,-130.0
261,11,10.0
262,122,-155.0
263,107,-122.0
264,39,-36.0
265,91,-106.0
266,80,-86.0
267,12,9.0
268,42,-30.0
269,156,-189.0
270,33,-21.0
271,185,-254.0
272,55,-52.0
273,115,-130.0
274,150,-165.0
275,11,10.0
276,57,-72.0
277,9,12.0
278,127,-178.0
279,88,-94.0
280,58,-55.0
281,118,-169.0
282,167,-227.0
283,8,13.0
284,62,-50.0
285,83,-80.0
286,111,-144.0
287,150,-138.0
288,104,-101.0
289,200,-281.0
290,10,2.0
291,16,5.0
292,51,-48.0
293,79,-130.0
294,84,-90.0
295,98,-95.0
296,19,-7.0
297,10,11.0
298,15,-3.0
299,10,11.0
300,85,-100.0
301,14,7.0
302,130,-163.0
303,42,-30.0
304,53,-32.0
305,54,-51.0
306,85,-82.0
307,97,-121.0
308,61,-40.0
309,91,-106.0
310,31,-10.0
311,55,-43.0
312,191,-206.0
313,71,-77.0
314,28,-16.0
315,43,-40.0
316,70,-94.0
317,40,-37.0
318,11,10.0
319,76,-82.0
320,97,-112.0
321,41,-38.0
322,9,12.0
323,60,-57.0
324,10,11.0
325,79,-76.0
326,58,-55.0
327,49,-37.0
328,13,8.0
329,51,-30.0
330,112,-190.0
331,27,-15.0
332,67,-91.0
333,29,-17.0
334,48,-54.0
335,65,-62.0
336,14,7.0
337,26,-14.0
338,32,-11.0
339,37,-25.0
340,26,-5.0
341,19,2.0
342,53,-32.0
343,36,-33.0
344,116,-131.0
345,68,-47.0
346,16,5.0
347,32,-38.0
348,9,12.0
349,39,-45.0
350,7,14.0
351,109,-115.0
352,23,-2.0
353,9,12.0
354,42,-30.0
355,29,-17.0
356,11,10.0
357,25,-4.0
358,20,1.0
359,24,-12.0
360,37,-34.0
361,51,-39.0
362,7,14.0
363,38,-17.0
364,143,-248.0
365,54,-78.0
366,34,-31.0
367,15,6.0
368,30,-27.0
369,81,-96.0
370,25,-22.0
371,18,3.0
372,7,14.0
373,11,10.0
374,79,-94.0
375,10,11.0
376,16,5.0
377,15,6.0
378,37,-16.0
