episode,steps,return
1,200,-704.0
2,200,-632.0
3,200,-623.0
4,200,-452.0
5,200,-587.0
6,200,-560.0
7,200,-596.0
8,200,-407.0
9,185,-533.0
10,115,-328.0
11,200,-326.0
12,200,-290.0
13,200,-281.0
14,200,-578.0
15,200,-569.0
16,200,-461.0
17,200,-263.0
18,200,-263.0
19,200,-236.0
20,200,-227.0
21,200,-587.0
22,200,-380.0
23,200,-326.0
24,200,-389.0
25,200,-371.0
26,200,-308.0
27,200,-227.0
28,200,-272.0
29,200,-290.0
30,161,-293.0
31,200,-542.0
32,200,-245.0
33,200,-272.0
34,200,-245.0
35,200,-272.0
36,200,-245.0
37,200,-632.0
38,200,-299.0
39,106,-103.0
40,200,-623.0
41,200,-290.0
42,200,-344.0
43,143,-230.0
44,200,-398.0
45,200,-371.0
46,200,-308.0
47,200,-335.0
48,171,-303.0
49,86,-92.0
50,68,-137.0
51,200,-272.0
52,200,-263.0
53,200,-281.0
54,200,-353.0
55,200,-317.0
56,72,-96.0
57,200,-272.0
58,200,-335.0
59,200,-227.0
60,200,-344.0
61,200,-281.0
62,200,-335.0
63,200,-281.0
64,200,-281.0
65,200,-317.0
66,200,-290.0
67,200,-299.0
68,117,-141.0
69,200,-272.0
70,65,-71.0
71,200,-245.0
72,200,-299.0
73,200,-245.0
74,23,-11.0
75,200,-299.0
76,200,-263.0
77,145,-151.0
78,200,-344.0
79,200,-245.0
80,200,-272.0
81,200,-263.0
82,200,-272.0
83,200,-272.0
84,200,-236.0
85,200,-263.0
86,200,-317.0
87,200,-380.0
88,200,-227.0
89,200,-263.0
90,106,-103.0
91,200,-299.0
92,200,-335.0
93,135,-195.0
94,200,-272.0
95,200,-353.0
96,200,-245.0
97,131,-164.0
98,200,-254.0
99,200,-371.0
100,200,-326.0
101,200,-272.0
102,200,-263.0
103,200,-227.0
104,200,-218.0
105,200,-443.0
106,32,-20.0
107,200,-308.0
108,200,-326.0
109,200,-254.0
110,200,-434.0
111,200,-290.0
112,200,-254.0
113,200,-299.0
114,200,-299.0
115,200,-290.0
116,200,-263.0
117,200,-326.0
118,117,-177.0
119,160,-238.0
120,200,-290.0
121,200,-452.0
122,200,-263.0
123,200,-236.0
124,15,6.0
125,200,-344.0
126,200,-281.0
127,200,-281.0
128,172,-205.0
129,200,-299.0
130,200,-281.0
131,200,-254.0
132,200,-263.0
133,200,-290.0
134,200,-236.0
135,200,-290.0
136,200,-281.0
137,200,-317.0
138,200,-326.0
139,200,-254.0
140,200,-272.0
141,200,-389.0
142,200,-335.0
143,200,-317.0
144,200,-326.0
145,200,-236.0
146,200,-263.0
147,200,-281.0
148,200,-218.0
149,200,-272.0
150,200,-209.0
151,65,-125.0
152,194,-245.0
153,200,-308.0
154,200,-254.0
155,200,-308.0
156,111,-108.0
157,200,-272.0
158,200,-272.0
159,200,-209.0
160,200,-236.0
161,200,-299.0
162,200,-281.0
163,200,-290.0
164,200,-344.0
165,43,-31.0
166,200,-335.0
167,200,-281.0
168,200,-344.0
169,200,-281.0
170,200,-317.0
171,200,-254.0
172,200,-254.0
173,200,-335.0
174,200,-272.0
175,200,-290.0
176,200,-254.0
177,200,-335.0
178,200,-317.0
179,200,-353.0
180,200,-308.0
181,200,-281.0
182,200,-254.0
183,200,-317.0
184,200,-317.0
185,200,-398.0
186,200,-335.0
187,200,-299.0
188,200,-317.0
189,39,-18.0
190,200,-335.0
191,200,-281.0
192,200,-263.0
193,200,-254.0
194,200,-227.0
195,200,-290.0
196,200,-245.0
197,200,-281.0
198,200,-245.0
199,200,-308.0
200,200,-299.0
201,200,-299.0
202,35,-23.0
203,200,-272.0
204,200,-272.0
205,200,-254.0
206,200,-290.0
207,147,-171.0
208,200,-272.0
209,200,-245.0
210,200,-290.0
211,191,-206.0
212,200,-263.0
213,200,-245.0
214,200,-254.0
215,200,-299.0
216,104,-110.0
217,200,-299.0
218,200,-371.0
219,200,-272.0
220,200,-326.0
221,200,-308.0
222,200,-281.0
223,200,-371.0
224,200,-317.0
225,159,-210.0
226,200,-245.0
227,152,-176.0
228,200,-263.0
229,83,-80.0
230,200,-254.0
231,200,-317.0
232,200,-236.0
233,200,-326.0
234,200,-335.0
235,9,3.0
236,200,-308.0
237,200,-272.0
238,200,-344.0
239,200,-281.0
240,200,-362.0
241,91,-97.0
242,200,-335.0
243,200,-344.0
244,188,-212.0
245,200,-227.0
246,200,-254.0
247,200,-371.0
248,200,-245.0
249,200,-353.0
250,200,-290.0
251,200,-263.0
252,200,-290.0
253,200,-335.0
254,200,-326.0
255,200,-308.0
256,200,-272.0
257,200,-281.0
258,200,-263.0
259,200,-254.0
260,200,-308.0
261,200,-281.0
262,200,-227.0
263,200,-299.0
264,200,-308.0
265,200,-290.0
266,143,-167.0
267,200,-236.0
268,200,-272.0
269,200,-308.0
270,200,-281.0
271,200,-371.0
272,200,-290.0
273,200,-344.0
274,200,-299.0
275,200,-335.0
276,200,-236.0
277,200,-263.0
278,200,-308.0
279,200,-281.0
280,200,-263.0
281,200,-317.0
282,200,-281.0
283,200,-272.0
284,200,-245.0
285,200,-344.0
286,200,-263.0
287,200,-281.0
288,200,-344.0
289,200,-308.0
290,200,-299.0
291,200,-290.0
292,200,-263.0
293,22,-1.0
294,200,-299.0
295,200,-245.0
296,200,-290.0
297,174,-207.0
298,200,-353.0
299,40,-55.0
300,200,-344.0
301,200,-281.0
302,200,-236.0
303,200,-299.0
304,200,-308.0
305,200,-299.0
306,200,-326.0
307,200,-290.0
308,200,-335.0
309,77,-92.0
310,200,-272.0
311,200,-272.0
312,200,-335.0
313,200,-317.0
314,200,-299.0
315,200,-290.0
316,200,-272.0
317,130,-163.0
318,137,-170.0
319,200,-362.0
320,200,-245.0
321,200,-245.0
322,200,-263.0
323,200,-272.0
324,200,-326.0
325,200,-272.0
326,200,-344.0
327,200,-272.0
328,200,-254.0
329,145,-205.0
330,200,-299.0
331,200,-326.0
332,200,-317.0
333,200,-362.0
334,136,-160.0
335,57,-63.0
336,200,-272.0
337,200,-281.0
338,200,-290.0
339,200,-272.0
340,200,-308.0
341,200,-263.0
342,200,-317.0
343,200,-263.0
344,200,-245.0
345,200,-290.0
346,200,-317.0
347,200,-272.0
348,200,-335.0
349,200,-263.0
350,23,-2.0
351,200,-326.0
352,200,-272.0
353,41,-47.0
354,200,-299.0
355,200,-317.0
356,200,-263.0
357,200,-272.0
358,200,-317.0
359,200,-299.0
360,200,-290.0
361,200,-263.0
362,186,-237.0
363,200,-299.0
364,200,-281.0
365,200,-263.0
366,200,-353.0
367,200,-299.0
368,200,-335.0
369,200,-272.0
370,200,-317.0
371,171,-204.0
372,200,-272.0
373,200,-308.0
374,200,-263.0
375,32,-20.0
376,200,-281.0
377,200,-245.0
378,200,-263.0
379,200,-227.0
380,200,-290.0
381,200,-299.0
382,68,-92.0
383,200,-254.0
384,200,-290.0
385,200,-236.0
386,200,-371.0
387,200,-263.0
388,200,-299.0
389,200,-335.0
390,121,-136.0
391,200,-227.0
392,200,-245.0
393,200,-317.0
394,200,-281.0
395,200,-308.0
396,200,-326.0
397,200,-263.0
398,200,-308.0
399,200,-254.0
400,200,-308.0
401,200,-281.0
402,200,-317.0
403,26,-5.0
404,28,-34.0
405,200,-335.0
406,200,-308.0
407,200,-272.0
408,200,-254.0
409,36,-42.0
410,200,-290.0
411,200,-326.0
412,200,-317.0
413,200,-308.0
414,200,-236.0
415,200,-245.0
416,200,-290.0
417,200,-299.0
418,200,-317.0
419,200,-326.0
420,200,-281.0
421,200,-290.0
422,200,-290.0
423,200,-281.0
424,200,-263.0
425,200,-272.0
426,200,-272.0
427,200,-254.0
428,200,-245.0
429,200,-308.0
430,200,-254.0
431,200,-281.0
432,132,-201.0
433,200,-308.0
434,144,-195.0
435,200,-272.0
436,200,-335.0
437,200,-290.0
438,200,-317.0
439,200,-308.0
440,200,-290.0
441,200,-335.0
442,200,-389.0
443,200,-254.0
444,200,-272.0
445,90,-96.0
446,200,-236.0
447,200,-263.0
448,200,-272.0
449,200,-272.0
450,200,-308.0
451,200,-254.0
452,200,-326.0
453,200,-308.0
454,200,-317.0
455,123,-147.0
456,200,-263.0
457,200,-281.0
458,200,-299.0
459,200,-344.0
460,127,-160.0
461,128,-134.0
462,200,-281.0
463,200,-290.0
464,200,-272.0
465,119,-134.0
466,200,-254.0
467,200,-317.0
468,200,-344.0
469,200,-263.0
470,200,-263.0
471,103,-199.0
472,200,-290.0
473,200,-308.0
474,200,-290.0
475,200,-245.0
476,200,-272.0
477,200,-272.0
478,200,-299.0
479,200,-308.0
480,200,-290.0
481,200,-308.0
482,200,-299.0
483,200,-245.0
484,200,-299.0
485,200,-299.0
486,152,-203.0
487,200,-299.0
488,200,-290.0
489,200,-254.0
490,200,-299.0
491,200,-263.0
492,200,-263.0
493,200,-245.0
494,200,-245.0
495,200,-272.0
496,200,-245.0
497,200,-344.0
498,187,-193.0
499,200,-335.0
500,200,-326.0
501,169,-202.0
502,200,-263.0
503,200,-290.0
504,181,-268.0
505,200,-290.0
506,200,-281.0
507,200,-236.0
508,200,-299.0
509,200,-353.0
510,200,-290.0
511,200,-308.0
512,200,-308.0
513,200,-272.0
514,200,-290.0
515,200,-245.0
516,200,-254.0
517,120,-144.0
518,200,-299.0
519,199,-277.0
520,97,-130.0
521,200,-254.0
522,200,-317.0
523,200,-308.0
524,200,-281.0
525,200,-272.0
526,200,-299.0
527,200,-308.0
528,200,-299.0
529,200,-263.0
530,143,-149.0
531,200,-272.0
532,200,-299.0
533,200,-254.0
534,200,-263.0
535,200,-281.0
